mergedTuple,Entry,KE (MeV),px,py,pz,KE,px,py,pz
92,8,3132,674.39,177.07,3159.26,364.86,-660.96,50.08,615
92,9,2837.8,-248.16,79.26,2929.37,248.94,218.7,-297.32,626.69
92,11,2811.42,600.2,-373.52,2827.49,168.35,-498.46,-236.79,199.08
92,14,2302.79,130.28,644.03,2314.02,447.46,-186.63,-557.6,833
92,15,5269.02,-156.86,348.89,5359.36,1248.04,-57.65,128.22,1969.56
92,16,4837.73,-403.67,-76.49,4924.5,257.33,538.78,285.2,421.14
92,17,2594.84,426.68,477.4,2620.71,266.61,-628.33,145.02,394.22
92,18,4920.89,-344.95,581.69,4979.07,282.01,401.37,-526.49,412.66
92,19,1967.59,-551.64,138.8,1990.23,276.78,-57.51,169.56,750.85
92,22,5087.18,569.87,299.71,5151.03,157.53,-521.8,-89.75,200.05
92,24,7344.76,474.94,-577.23,7411.42,316.28,-429.86,612.78,364.81
92,25,3576.21,252.37,-778.01,3587.66,462.75,-309.42,163.72,979.65
92,26,6509.99,-722.52,-192.89,6571.74,171.38,246.92,28.81,537.66
92,27,3014.08,277.26,-409.63,3077.81,327.79,-122.07,293.17,788.37
92,28,635.85,187.77,58.08,706.54,561.51,-194.31,29.35,1153.29
92,30,1952.24,486.81,154.88,1990.03,303.08,-387.77,195.82,686.82
92,31,5873.98,571.89,175.14,5948.06,263.47,-606.19,-236.06,374.81
92,35,6264.19,218.58,-361.87,6354.28,1219.84,66.7,-110.43,1939.02
92,36,4405.45,151.43,537.48,4474.52,289.73,122.18,-485.11,614.18
92,37,1440.34,24.64,-62.57,1540.3,280.66,-73.96,320.43,705.08
92,38,4481.94,172.77,-631.94,4538.7,296.51,-136.16,697.33,373.32
92,39,5464.77,522.24,131.54,5542.68,205.13,-351.52,-36.32,549.56
92,40,2338.18,-143.08,422.34,2399.85,244.93,73.08,-578.43,423.73
92,41,4740.63,450.86,-157.42,4820.9,278.82,-582.3,36.45,510.31
92,43,5195.23,758.83,78.29,5243.99,349.71,-801.58,12.12,368.34
92,44,4357.68,-344.17,-90.29,4447.23,252.18,285.91,407.39,537.55
92,45,3613.86,-441.8,-57.56,3690.58,211.8,469.85,207.13,422.54
92,47,3860.84,-301.56,132.58,3950.74,179.04,532.54,91.21,275.7
92,48,4864.64,-217.73,407.44,4947,292.45,351.64,-409.81,585.3
94,1,3302.54,112.99,587.52,3352.97,146.01,128.24,-57.34,524.89
94,2,2846,464.57,239.21,2902.47,250.46,-616.84,60.52,385.29
94,3,3797.68,-621.4,210.32,3845.71,469.38,29.87,70.8,1046.41
94,4,5932.73,47.55,-432.11,6021.14,117.72,61.24,394.18,274.9
94,5,3456.59,-200.41,620.06,3499.89,310.81,144.74,-615.11,529.49
94,6,3923.32,-389.08,-51.92,4007.77,163.8,485.44,100.76,297.17
94,7,7450.76,622.5,11.5,7529.33,158.16,-372.9,185.46,385.05
94,8,4874.76,444.26,234.55,4953.25,118.19,-391.85,4.27,286.56
94,9,4622.96,-435.84,-87.68,4705.84,376.8,753.6,430.39,309.38
94,10,6309.86,548.76,-254.19,6385.43,277.3,-60.95,-260.25,725.03
94,11,5716.83,119.95,664.74,5781.56,209.58,-129.73,-485.62,429.46
94,12,5632.24,-71.6,489.24,5714.93,250.6,258.16,-538.22,420.24
94,13,3360.28,-164.37,-540.2,3417.36,208.55,277.98,514.59,304.39
94,14,4086.09,439.4,106.21,4165.31,110.29,21.1,-164.54,437.66
94,16,5504.03,645.21,138.19,5569.09,326.32,-657.97,-118.15,521.32
94,17,6448.06,416.87,-579.69,6513.19,274.43,-303.48,513.88,483.72
94,19,5790.6,-59.01,-656.38,5857.71,232.44,145.51,635.17,255.88
94,21,3747.23,469.23,-173.74,3818.15,125.57,-285.73,-119.43,394.26
94,22,4515.81,-475.35,-168.98,4591.99,199.98,507.37,245.14,312.46
94,23,3296.85,553.69,-192.76,3349.31,226.42,147.29,324.26,590.93
94,24,3881.62,-140.72,471.13,3954.79,116.78,131.78,-200.53,418.49
94,26,5352.83,-187.8,-422.83,5437.17,228.37,439.01,364.22,393.95
94,28,2574.5,-385.45,46.62,2649.14,313.75,-571.44,216.94,559.85
94,29,4488.38,504.02,275.2,4556.13,198.97,-490.94,-41.09,412.47
94,31,4650.23,258.55,484.2,4722.27,185.97,-396.2,-203.03,430.44
94,32,4563.24,-399.27,398.38,4632.85,457.5,644,-440.9,677.08
94,33,6216.84,564.69,427.94,6281.13,311.34,-592.68,-391.93,419.69
94,34,5773.94,465.77,401.13,5845.77,175.9,-560.76,-91.79,195.1
94,35,6954.03,147.96,-566.13,7033.96,204.63,-272.49,517.43,289.42
94,36,5489.92,-235.14,475.52,5568.73,187.1,191.77,-458.11,373.32
94,37,3502.36,570.94,-8.11,3560.33,199.3,-495.65,29.54,408.74
94,38,2906.52,334.6,306.98,2975.24,160.71,-507.05,-111.15,240.57
94,42,5281.37,-47.62,-492.7,5362.54,183,520.15,193.72,262.14
94,45,3790.49,-7.63,420.06,3871.35,160.61,89.47,-443.65,349.67
94,46,3768.15,-180.52,-406.94,3846.05,194.12,-515.26,-182.46,321.05
101,1,3745.65,575.19,226.82,3799.23,188.97,535.53,18.68,321.05
101,2,6114,561.64,95.42,6192,201.81,-420.34,176.46,459.9
101,3,4379.66,-520.38,-0.19,4453.13,231.99,257.82,9.3,649.98
101,4,5011.83,504.2,376.9,5076.88,310.93,-191,-506.03,622.44
101,5,4373.58,185.3,-703.93,4417.79,232.98,-225.91,616.87,244.5
101,6,5946.89,184.92,-474.44,6029.52,175.42,-210.57,489.38,275.71
101,7,5846.05,420.31,-372.6,5923.55,235.78,-491.2,312.54,398.69
101,9,6398.98,531.11,-193.21,6478.52,96.74,-23.05,-271.01,341.85
101,11,4349.98,-318.67,99.63,4441.21,179.82,498.95,-153.04,311.95
101,12,4154.52,505.75,-434.59,4205.69,221.15,-446.25,-145.49,493.42
101,14,3640.06,-405.61,150.13,3718.52,219.78,242.12,-364.69,518.65
101,15,6274.6,-101.5,532.27,6355.68,261.47,62.48,-592.49,451.6
101,16,5082.33,-456.1,-327.68,5155.77,339.02,504.45,499.65,496.8
101,17,4658.03,-414.53,42.88,4743.6,546.13,999.82,488.42,290.84
101,18,4611.65,250.12,-535.46,4678.3,363.84,543.02,-18.13,720.92
101,19,2131.94,-251.75,-210.66,2210.23,120.61,297.45,-249.16,300.43
101,21,5337,583.73,-252.57,5403.69,78.98,-162.39,42.2,355.32
101,23,3078.05,270.87,-457.82,3136.53,161.92,-118.6,308.94,469.54
101,25,2622.95,153.39,-419.27,2689.12,136.86,-201.02,430.65,222.74
101,26,5347.31,526.6,-156.49,5423.55,191.18,-526.26,99.68,329.12
101,28,6028.39,277.53,-646.93,6091.95,290.79,-506.49,334.96,511.22
101,29,4005.77,363.38,303.75,4082.04,165.36,-394.88,-263.86,334.68
101,30,6274.99,696.21,-78.08,6340.54,190.86,-573.01,-3.18,257.18
101,31,4424.59,199.93,-432.35,4503.25,282.06,-253.8,641.12,365.03
101,33,3160.48,-544.03,-273.92,3206.45,185.84,239.67,91.53,563.35
101,34,5686.41,-146.1,585.32,5758.95,124.14,253.63,199.66,379.62
101,35,5628.59,68.61,-637.61,5696.64,167.98,459.86,233.06,278.49
101,36,3580.28,-103.84,365.49,3664.14,117.29,-355.22,-138.01,297.58
101,37,4304.01,288.72,456.66,4374.53,211.44,-302.45,-409.36,426.97
101,39,5574.24,614.37,222.56,5640.55,317.68,239.21,698.34,389.87
101,42,2815.49,551.18,160.98,2861.56,296.13,-18.56,-335.25,728.35
101,43,3668.19,-484.02,-254.49,3731.88,383,502.22,494.66,606.87
101,44,4792.03,275.36,-447.8,4867.6,190.42,-90.03,295.73,545.82
101,45,1637.32,317.74,-191.76,1699.09,146.89,96.9,-391.73,366.47
101,46,5988.08,673.28,-61.21,6054.55,197.73,-536.73,134.25,322.41
101,47,3878.06,-317.14,204.65,3963.74,163.31,92.27,-268.71,502.31
